id,question,difficulty,question_type,source_doc,baseline,selfcheck,similarity,ragas
741920fe-c7d4-4e38-a239-207741b9e271,Which document specifies the details of HTTP semantics?,easy,identifier,docs/rfc9110.pdf,0.0,1,0.8432822168823941,
2877f7fb-7d11-4db3-9e45-46c7be5fc563,How often should the penetration testing be conducted according to the text?,easy,factual,docs/NIST.SP.800-53r5.pdf,0.0,1,0.7207797863770862,0.5
2f1092b2-b16f-4015-b32a-e4617f682f29,What does the AWS Well-Architected Framework suggest about manually changing standard security controls?,easy,procedure,docs/wellarchitected-framework.pdf,1.0,1,0.5036849335831131,0.2857142857142857
a759b7ef-6bb5-4fc5-b569-f06fff66c33a,What must an organization do when it provides for the operation of a system of records to accomplish an organizational mission or function?,easy,requirement,docs/NIST.SP.800-53r5.pdf,0.0,1,0.8152563674275829,1.0
ff8371e1-f554-4444-85e5-c25d1ce8a6aa,What does the text suggest about understanding networking for performance?,easy,procedure,docs/wellarchitected-framework.pdf,0.0,1,0.5026274510276075,0.3333333333333333
1ac915e3-3c15-4955-906a-9478e28c42ce,What does evidence #6.8.2 suggest about the presence and integrity of digital signatures on authentication?,easy,factual,docs/OWASP_Application_Security_Verification_Standard_5.0.0_en (1).pdf,0.0,1,0.7241796330164746,0.0
949763d6-412a-42d1-b307-353c85f4c762,What tools are mentioned for preventing data loss and leakage?,easy,identifier,docs/NIST.SP.800-53r5.pdf,0.0,1,0.69624048951647,0.2
78e4c9eb-e0aa-422e-be63-8eeba70ef804,From where can this publication be accessed for free?,easy,identifier,docs/NIST.SP.800-53r5.pdf,0.0,1,0.9411259847695967,1.0
3e4c8bea-797a-4d6d-9175-8c91ba6ee743,What level of effort is required for the implementation plan?,easy,requirement,docs/wellarchitected-framework.pdf,0.0,1,0.7250886679053002,1.0
e3cba716-e9c2-4adc-924d-f3d119befd1a,What type of packets should the media server verify it can process continuously?,easy,factual,docs/OWASP_Application_Security_Verification_Standard_5.0.0_en (1).pdf,0.0,1,0.925752529784308,0.75
7f2648cf-146b-48f7-bb16-8f8ca0ed2fd0,What is the definition of mobile code technologies?,easy,definition,docs/NIST.SP.800-53r5.pdf,0.0,1,0.8183044322950006,0.125
8010db5d-0de4-4c59-b68f-e3e0358f802a,What is another term for dual authorization mentioned in this text?,easy,identifier,docs/NIST.SP.800-53r5.pdf,0.0,1,0.9272939368701841,1.0
ebae81e0-11ad-4e25-b399-fd93d926ee26,Where does GuardDuty pull independent data streams directly from?,easy,factual,docs/wellarchitected-framework.pdf,1.0,1,0.9919878014530547,0.75
